"name" "value"
"Ekiti" "Patrilocal"
"Ife" "Patrilocal"
"Adangme" "Patrilocal"
"Ewe" "Patrilocal"
"Buem" "Patrilocal"
"Abron" "Patrilocal"
"Anyi" "Patrilocal"
"Yako" "Patrilocal"
"Assini" "Patrilocal"
"Attie" "Patrilocal"
"Fante" "Patrilocal"
"Ga" "Neolocal"
"Alagya" "Matrilocal"
"Avikam" "Patrilocal"
"Bakwe" "Patrilocal"
"Krahn" "Patrilocal"
"Kru" "Patrilocal"
"Sapo" "Patrilocal"
"Mende" "Patrilocal"
"Dan" "Patrilocal"
"Gagu" "Patrilocal"
"Guro" "Patrilocal"
"Tura" "Patrilocal"
"Gbande" "Patrilocal"
"Gola" "Patrilocal"
"Ngere" "Patrilocal"
"Temne" "Patrilocal"
"Vai" "Patrilocal"
"Oyo Yoruba" "Patrilocal"
"Bete" "Patrilocal"
"Nupe" "Patrilocal"
"Baule" "Matrilocal"
"Bambara" "Patrilocal"
"Konkomba" "Patrilocal"
"Lobi" "Patrilocal"
"Nankanse" "Patrilocal"
"Kasena" "Patrilocal"
"Baga" "Patrilocal"
"Balanta" "Patrilocal"
"Banyun" "Patrilocal"
"Biafada" "Patrilocal"
"Bijogo" "Matrilocal"
"Diola" "Patrilocal"
"Mossi (Yatenga)" "Patrilocal"
"Papel" "Patrilocal"
"Bassari" "Patrilocal"
"Serer" "Patrilocal"
"Kasonke" "Patrilocal"
"Koranko" "Patrilocal"
"Soninke" "Patrilocal"
"Susu" "Patrilocal"
"Diula" "Patrilocal"
"Nononke" "Patrilocal"
"Samo" "Patrilocal"
"Dogon" "Patrilocal"
"Bobo" "Patrilocal"
"Minianka" "Patrilocal"
"Senufo" "Patrilocal"
"Dyan" "Patrilocal"
"Dorosie" "Patrilocal"
"Kulango" "Patrilocal"
"Lowiili" "Patrilocal"
"Awuna" "Patrilocal"
"Builsa" "Patrilocal"
"Dagara" "Patrilocal"
"Tallensi" "Patrilocal"
"Isala" "Patrilocal"
"Kusasi" "Patrilocal"
"Nunuma" "Patrilocal"
"Vagala" "Patrilocal"
"Dagomba" "NA"
"Gurma" "Patrilocal"
"Manprusi" "Patrilocal"
"Mossi (Ouagadougou)" "Patrilocal"
