"name" "value"
"Bamileke" "Patrilocal"
"Luba" "Patrilocal"
"Mende" "Patrilocal"
"Oyo Yoruba" "Patrilocal"
"Birifor" "Patrilocal"
"Futajalonke" "Patrilocal"
"Mambila" "Patrilocal"
"Margi" "Patrilocal"
"Mamvu" "Patrilocal"
"Shilluk" "Patrilocal"
"Lango" "Patrilocal"
"Turkana" "Patrilocal"
"Iraqw" "Patrilocal"
"Hasania" "Patrilocal"
"Mzab" "Patrilocal"
"Kabyle" "Patrilocal"
"Basques" "Ambilocal"
"Tristan da Cunha" "Neolocal"
"Walloons" "Neolocal"
"Czechs" "Patrilocal"
"Cherkess" "Patrilocal"
"Hebrews" "Patrilocal"
"Hazara" "Patrilocal"
"Kohistani" "Patrilocal"
"Dagur" "Patrilocal"
"Turkmen" "Patrilocal"
"Koryak" "Patrilocal"
"Yukaghir" "Matrilocal"
"Japanese" "Patrilocal"
"Min Chinese" "Patrilocal"
"Tibetans" "Patrilocal"
"Aryans" "Patrilocal"
"Ho" "Patrilocal"
"Coorg" "Patrilocal"
"Kerala" "Neolocal"
"Nicobarese" "Matrilocal"
"Sinhalese" "Patrilocal"
"Kachin" "Patrilocal"
"Purum" "Patrilocal"
"Cambodians" "Neolocal"
"Selung" "Neolocal"
"Hanunoo" "Matrilocal"
"Dusun" "Patrilocal"
"Minangkabau" "Neolocal"
"Rotinese" "Patrilocal"
"Toradja" "Matrilocal"
"Dieri" "Patrilocal"
"Kariera" "Patrilocal"
"Keraki" "Patrilocal"
"Waropen" "Patrilocal"
"Ponapeans" "Matrilocal"
"Yapese" "Patrilocal"
"Dobuans" "Matrilocal"
"Ulawans" "Patrilocal"
"Ajie" "Patrilocal"
"Ellice" "Patrilocal"
"Ontong Java" "Matrilocal"
"Manihikians" "Patrilocal"
"Raroians" "Ambilocal"
"Naskapi" "Ambilocal"
"Nunivak" "Patrilocal"
"Eyak" "Matrilocal"
"Tolowa" "Patrilocal"
"Atsugewi" "Patrilocal"
"Miwok" "Patrilocal"
"Hukundika" "Ambilocal"
"Cheyenne" "Matrilocal"
"Miami" "Patrilocal"
"Wichita" "Matrilocal"
"Cherokee" "Matrilocal"
"Delaware" "Matrilocal"
"Maricopa" "Patrilocal"
"Taos" "Neolocal"
"Huichol" "Ambilocal"
"Seri" "Patrilocal"
"Popoluca" "Patrilocal"
"Totonac" "Patrilocal"
"Choco" "Neolocal"
"Bribri" "Neolocal"
"Carinya" "Matrilocal"
"Paraujano" "Ambilocal"
"Guahibo" "Matrilocal"
"Wapishana" "Patrilocal"
"Palikur" "Patrilocal"
"Cubeo" "Patrilocal"
"Tunebo" "Patrilocal"
"Ona" "Patrilocal"
"Caduveo" "Matrilocal"
"Choroti" "Matrilocal"
"Camayura" "Patrilocal"
"Botocudo" "NA"
"Tenetehara" "Matrilocal"
"Sandawe" "Patrilocal"
"Nyaneka" "Matrilocal"
"Sotho" "Patrilocal"
"Yao" "Matrilocal"
"Yombe" "Matrilocal"
"Ganda" "Neolocal"
"Hehe" "Patrilocal"
"Babwa" "Patrilocal"
"Rundi" "Patrilocal"
"Bete" "Patrilocal"
"Nupe" "Patrilocal"
"Bozo" "Patrilocal"
"Coniagui" "Matrilocal"
"Gure" "Matrilocal"
"Matakam" "Patrilocal"
"Baya" "Patrilocal"
"Dilling" "Patrilocal"
"Luo" "Patrilocal"
"Nandi" "Patrilocal"
"Bisharin" "Patrilocal"
"Buduma" "Patrilocal"
"Shluh" "Patrilocal"
"Cheremis" "Neolocal"
"Nuri" "Patrilocal"
"Ainu" "Patrilocal"
"Okinawans" "Patrilocal"
"Dard" "Patrilocal"
"Bhil" "Patrilocal"
"Hill Bhuiya" "Patrilocal"
"Akha" "Patrilocal"
"Paiwan" "Patrilocal"
"Tanimbarese" "Patrilocal"
"Wikmunkan" "Patrilocal"
"Enga" "Patrilocal"
"Lakalai" "Patrilocal"
"Simboese" "Ambilocal"
"Rotumans" "Matrilocal"
"Cree Attawapiskat" "Patrilocal"
"Diegueno" "Patrilocal"
"Washo" "Ambilocal"
"Mandan" "Matrilocal"
"Pawnee" "Matrilocal"
"Cochiti" "Matrilocal"
"Mazateco" "Patrilocal"
"Yucatec Maya" "Patrilocal"
